5445092965875729965	😎✊
5442995600201106682	👍
5445217618711560709	💪🤟
5442956133746624975	👐🤲
5443004245970272498	🤙\n
5445014015786895017	💋🙏
5442944752083289450	❤️
5443107716027402721	☺️
5445183185958749340	😉🤓
5445356088457184937	🤨\n
5444875271163364561	🙂🙃
5444901908550532548	🥸🫢
5442772906146811391	😤😂
5442853853395436819	🤪😔
5445287102692477814	\n👽
5444931500875203113	🫥😍
5445138105982009710	🫣🥶
5442802996687684677	👻😢
5443097687278764994	\n🤡
5445143251352829033	🔥👻
5445122339157065472	👾🫨
5445225023235179100	👽🌐
5445159400429864754	👊\n
5445062536032438693	🫲👁
5443059530789308486	🧠👴
5445345827780315153	👣🎒
5445170498625357717	👾\n
5444894357998029276	✨⭐
5444932531667355783	️🌲
5445375175291847923	🧝‍
5445266787497165892	♀️
5445195963486454557	🤐
5445159031062677381	
5442791237067230205	
5445375239716357875	
5444943543963502136	
5269351352324087016	
5267244065275009857	
5267420085919702630	
5269375507220165755	
5267351585486298282	
5269625534446327586	
5269444535934541405	
5269407848323897518	
5269725757508181544	
5267456051975839024	
5269235779049120509	
5465578808826428227	
5465176005318574515	
5465172393251081661	
5465384508800928733	
5465443040615233274	
5465273505371159908	
